SA2 Code 2016,SA2 Name,median_age,population,median_weekly_personal_income,average_life_satisfaction_score,percent_unemployed,homeless_rate,housing_stress_30_40_rule,gini_coefficient,poverty_rate,ieo_score,percent_nonreligious,percent_citizenship,sentiment,counts,suburb_code
210051444,Craigieburn - West,29,14149,645,77.25096607986261,8.8,0.0024029966782104745,26.9,0.3128008500000018,23.1,971,5.6,48.8,-0.26613598173135933,3,210051444
210051442,Craigieburn - North,29,11562,673,77.2721550855992,7.9,0.0021622556651098427,24.5,0.2877203200000003,19.6,972,5.4,38.8,-0.2824079982150474,5,210051442
210051250,Tullamarine,39,6419,632,76.95042665583097,7.0,0.002648387599314535,18.5,0.27870153999999997,14.8,933,10.7,33.7,-0.06961125649992299,8,210051250
210051249,Roxburgh Park - Somerton,29,21847,403,,11.0,0.008742619123907173,27.6,0.3097893300000003,28.9,915,4.7,28.8,0.3956785450088937,9,210051249
211031452,Croydon South,37,4711,681,78.45691382765531,5.1,0.004457652303120356,14.7,0.2717389,11.9,1026,28.2,40.5,0.39128681000275006,9,211031452
210051246,Greenvale - Bulla,35,16244,662,78.84590110070643,5.3,0.0006156119182467373,15.1,0.3201627000000018,12.7,1004,8.6,20.8,-0.08615783489775354,23,210051246
210051245,Gladstone Park - Westmeadows,41,17621,587,77.98355754857997,7.0,0.002156517791271778,15.2,0.28028953,14.1,946,10.4,23.6,0.3560151025566076,10,210051245
210051243,Campbellfield - Coolaroo,33,16123,377,,14.4,0.008993363517955716,27.6,0.35335252000000134,34.4,830,4.5,31.0,-0.23445336014252735,22,210051243
210051248,Melbourne Airport,46,177,1157,,1.4,0.0,,,,1057,50.0,45.0,0.24614464676488595,62,210051248
210051247,Meadow Heights,31,14847,377,,13.7,0.00882333131272311,28.7,0.3056819700000018,35.1,855,6.1,28.8,0.21564018798252882,2,210051247
210051242,Broadmeadows,31,13263,404,76.32086985465439,15.8,0.008519942697730529,27.2,0.3216591000000003,33.4,850,7.9,46.9,0.2990286517261314,33,210051242
210031439,Gowanbrae,37,2912,808,78.56161021109475,4.0,0.0027472527472527475,13.4,0.27639115,9.7,1038,19.8,20.7,0.054607673811282675,4,210031439
210031239,Pascoe Vale,35,23476,735,77.57239076621956,6.3,0.0037911058101891292,15.2,0.3046555800000003,13.0,1051,19.4,43.2,0.4790483769451937,46,210031239
210031438,Glenroy,34,22139,539,76.93626237623762,8.9,0.005239622385834952,18.2,0.3032285000000015,17.9,973,10.8,47.9,0.19090888968130035,9,210031438
210031237,Fawkner,34,13755,451,77.29674170007195,10.6,0.00886950199927299,21.3,0.3222368000000003,23.7,941,5.4,36.9,0.42394644376482826,9,210031237
210031236,Coburg North,37,7689,639,77.31233980227023,6.8,0.005722460658082976,15.9,0.3120386600000018,14.1,1050,22.3,39.5,0.2536752170529782,15,210031236
212031301,Cranbourne East,30,25702,746,78.39583090718529,6.4,0.0017897439887946463,20.8,0.2669538600000003,15.2,996,10.4,41.4,-0.04564399421864786,25,212031301
212031300,Cranbourne,34,20084,592,77.6903517445967,8.2,0.005228042222664808,21.1,0.2755830600000003,19.3,897,14.4,42.0,0.3507378653853035,14,212031300
210021232,Gisborne,39,12840,747,79.54827780914738,4.5,0.0005451713395638629,12.5,0.3188754300000015,9.1,1059,31.4,26.9,0.654319601002733,9,210021232
210011231,Strathmore,40,9449,807,79.15373563218391,4.6,0.0010583130489998942,10.2,0.338902860000003,8.1,1085,24.6,24.9,0.38363135803993353,6,210011231
210011230,Niddrie - Essendon West,39,6905,757,78.57224770642202,4.2,0.0005792903692976104,11.5,0.3213429500000015,8.8,1061,20.7,27.8,0.26217779658290186,13,210011230
210011229,Keilor East,43,26157,574,78.1385215584942,5.7,0.0006881523110448446,12.6,0.3269381500000003,12.2,1000,13.6,22.0,-0.11672060482377404,13,210011229
210011228,Keilor,43,8479,646,78.75614250614251,5.1,0.0027125840311357473,11.6,0.3296969000000015,9.6,1014,11.7,19.0,0.08548818625105531,63,210011228
209041437,Wollert,30,9059,704,77.42218543046357,6.4,0.0029804614195827355,26.1,0.3157646700000018,20.4,1006,7.1,43.2,-0.8573908402055317,1,209041437
209041436,South Morang (South),36,12014,651,77.8337031414224,6.4,0.001248543366072915,17.0,0.263386580000002,13.2,975,11.2,32.8,0.46964845322685245,5,209041436
209041430,Doreen,31,20962,793,78.467211336852,5.0,0.0006678752027478294,19.9,0.26654434,13.5,1018,20.8,38.8,0.08662729184425325,4,209041430
209041225,Whittlesea,41,8128,631,78.70743571924947,4.1,0.0004921259842519685,15.3,0.2983670000000003,12.6,974,19.9,28.6,0.2931627016744999,9,209041225
209041224,Wallan,33,16215,714,78.47259902333153,5.5,0.0003700277520814061,19.2,0.277777,14.7,950,20.2,37.7,0.1951110571765459,20,209041224
209041223,Thomastown,38,20326,427,76.16810482582295,10.0,0.008265276001180754,19.8,0.2956072,21.9,876,8.4,31.9,0.060113267497278126,14,209041223
210011226,Airport West,40,7540,684,77.6260613411887,4.9,0.0017241379310344827,13.2,0.30460754,10.9,1006,13.7,28.9,0.023321887310557704,8,210011226
209041221,Mill Park - South,36,11847,586,77.24719101123596,7.5,0.0024478770996876845,16.1,0.27124906,14.9,971,14.5,30.2,0.737363856499621,1,209041221
209041220,Mill Park - North,38,17853,593,77.59007029876977,6.5,0.002800649750742172,15.3,0.28712153,13.5,976,13.2,26.9,0.5616920903514272,17,209041220
209041435,South Morang (North),32,12065,755,77.98214285714286,6.3,0.0005801906340654787,19.0,0.2657569,13.7,1010,10.4,30.2,0.08467838121985051,6,209041435
