SA2 Code 2016,SA2 Name,median_age,population,median_weekly_personal_income,average_life_satisfaction_score,percent_unemployed,homeless_rate,housing_stress_30_40_rule,gini_coefficient,poverty_rate,ier_score,percent_nonreligious,percent_citizenship,sentiment,counts,suburb_code
304021086,Bellbowrie - Moggill,36,10087,797,79.3544373790434,5.7,0.0008922375334589075,12.7,0.27241040000000133,8.0,1110,31.2,32,0.31962096774193544,62,304021086
304031096,St Lucia,23,12558,297,,17.7,0.007803790412486065,27.1,0.3805453000000003,27.0,889,41.2,74,0.2280832298136646,161,304031096
304031095,Sherwood,36,5635,910,78.51171780623339,5.4,0.0012422360248447205,12.0,0.33115685000000133,9.0,1037,35.6,39,0.14411162790697676,43,304031095
304011085,Westlake,41,4359,791,79.11050394656952,5.9,0.0,10.9,0.3212067000000015,8.0,1126,24.3,21,0.17781249999999998,8,304011085
304011084,Seventeen Mile Rocks - Sinnamon Park,39,9556,879,78.7655233589592,5.1,0.0009418166596902469,12.1,0.30886880000000266,8.0,1100,27.4,25,0.22890769230769234,26,304011084
304011083,Riverhills,34,4026,819,78.216011042098,6.6,0.0009935419771485345,16.3,0.26264234999999997,12.0,1035,28.1,34,0.0,1,304011083
304011082,Middle Park - Jamboree Heights,38,7047,749,78.15784516858166,6.3,0.002270469703419895,11.8,0.2950874300000003,8.0,1058,29.5,28,0.04900769230769231,13,304011082
304011081,Jindalee - Mount Ommaney,41,7500,782,79.07263751763047,6.1,0.0004,11.8,0.3035146000000018,9.0,1088,32.8,29,0.20127777777777778,36,304011081
311061336,Woodridge,32,12579,459,76.62061636556854,18.9,0.01430956355831147,25.4,0.24765833000000093,29.0,819,11.7,56,0.1281421052631579,19,311061336
303061080,Sunnybank Hills,35,18039,538,75.5850350275749,10.1,0.00543267365153279,18.3,0.2899789500000015,16.0,1002,39.6,47,0.2069439393939394,66,303061080
303061079,Sunnybank,32,8862,461,,12.1,0.011848341232227487,17.2,0.2922352,16.0,953,46.7,59,0.2993092592592593,54,303061079
303061078,Runcorn,32,14424,547,75.45967443581206,9.6,0.005684969495285635,18.9,0.2773919700000003,16.0,981,34.2,54,0.21262187500000002,32,303061078
303061077,Kuraby,33,8363,617,77.91396381017412,8.7,0.0008370202080593089,14.9,0.2990692000000003,14.0,1047,19.5,37,0.10212000000000002,5,303061077
311061335,Underwood,33,6348,686,77.07850133809099,7.7,0.007718966603654695,19.2,0.3029593200000003,16.0,1040,24.2,39,0.15408750000000002,24,311061335
303051076,Rocklea - Acacia Ridge,34,9544,527,76.69314945285565,13.7,0.007439228834870076,22.1,0.2700175,22.0,892,16.5,42,0.003948862833733578,7079,303051076
303051075,Parkinson - Drewvale,33,15582,737,77.52346241457859,6.9,0.0014760621229623924,16.8,0.26098040000000133,12.0,1092,29.2,39,0.14619090909090907,22,303051075
303051074,Pallara - Willawong,32,4718,790,77.88467374810318,7.1,0.002755404832556168,15.7,0.27472812,9.0,1093,23.2,36,0.2867866666666667,15,303051074
303051073,Calamvale - Stretton,32,21207,643,75.68030077137486,8.2,0.0018861696609610034,20.2,0.2994599600000018,16.0,1051,36.4,43,0.2865139534883721,43,303051073
303041069,Robertson,32,5110,474,,10.8,0.00939334637964775,17.0,0.3298954400000003,21.0,986,37.6,53,0.10764857142857143,35,303041069
303041068,Moorooka,35,10411,775,77.38915004446703,6.7,0.006531553164921718,16.1,0.2974925000000003,13.0,978,27.5,44,0.24368749999999997,24,303041068
303041070,Salisbury - Nathan,34,7181,662,77.53486464315013,9.0,0.004316947500348141,16.1,0.2718055000000003,12.0,998,31.8,46,0.2928682403433477,233,303041070
303041067,Coopers Plains,32,5493,509,,10.1,0.010194793373384307,20.6,0.27204752,20.0,921,31.1,54,0.054185714285714295,42,303041067
303031066,Wishart,39,10815,676,77.89095945605641,6.7,0.001941747572815534,13.1,0.3056494,11.0,1043,26.2,38,0.28755,12,303031066
303031065,Upper Mount Gravatt,32,9360,574,76.75455207574655,9.8,0.0036324786324786326,18.9,0.3074756600000021,16.0,948,38.6,57,0.06603819742489271,233,303031065
303031064,Rochedale - Burbank,34,6328,793,77.86888888888889,5.8,0.0004740834386852086,14.2,0.3417612,12.0,1139,33.5,40,0.2916621621621621,37,303031064
303031063,Mount Gravatt,34,14935,754,77.54004787331984,6.5,0.0032808838299296953,14.8,0.2989570000000003,12.0,991,26.8,42,0.3126475409836066,183,303031063
303031062,Mansfield (Qld),38,8707,654,78.14988290398126,7.2,0.0025267026530377858,11.4,0.27843753,11.0,1022,23.5,35,0.283704,25,303031062
303031060,Eight Mile Plains,33,15178,605,75.50986292209963,8.3,0.00382132033205956,,,,1022,38.0,50,0.34563061224489794,49,303031060
303021059,Yeronga,36,9493,877,77.94473721692067,6.3,0.005583061202991678,13.5,0.34464127,11.0,1006,35.2,39,0.3005054054054054,111,303021059
303021058,Woolloongabba,32,5542,664,76.22418879056048,8.7,0.020389750992421508,17.2,0.3533591000000003,14.0,901,42.5,59,0.24088975409836064,244,303021058
303021057,Holland Park West,36,6359,844,78.08452481076534,5.6,0.003931435760339676,11.8,0.32179528,9.0,1037,30.4,41,0.2395625,8,303021057
303021056,Holland Park,35,8315,796,78.02741151977793,5.8,0.004209260372820205,12.5,0.3123528400000018,12.0,1010,31.4,37,0.23764,15,303021056
303021055,Greenslopes,33,9087,837,76.96673743807501,6.2,0.004511940134257731,15.0,0.3011054,11.0,956,28.9,50,0.2963045454545454,110,303021055
303021054,Fairfield - Dutton Park,31,4779,621,76.25815217391305,8.4,0.012345679012345678,18.2,0.333024560000003,15.0,945,41.0,52,0.36172499999999996,28,303021054
303021053,Coorparoo,34,16069,926,77.83958281599206,5.4,0.0019291804094840998,13.5,0.3212458800000003,9.0,1010,28.5,46,0.2308761111111111,180,303021053
303021052,Annerley,31,11414,753,76.8063068247209,7.8,0.009462064131768004,18.8,0.31961724,15.0,942,35.3,50,0.25883275862068966,58,303021052
