SA2 Code 2016,SA2 Name,median_age,population,median_weekly_personal_income,average_life_satisfaction_score,percent_unemployed,homeless_rate,housing_stress_30_40_rule,gini_coefficient,poverty_rate,ieo_score,percent_nonreligious,percent_citizenship,sentiment,counts,suburb_code
212051326,Oakleigh - Huntingdale,36,21335,631,76.65643018300325,7.3,0.0037965783923131005,16.5,0.318842700000002,14.7,1059,28.3,45.5,0.15874999999999997,24,212051326
212051325,Mulgrave,39,19379,607,77.44277712468018,6.3,0.0031993394912018165,15.3,0.3124759200000018,14.0,1034,22.0,34.5,0.06586166666666667,60,212051325
212051324,Mount Waverley - South,40,18340,659,77.19129738776104,6.5,0.0019083969465648854,14.8,0.3458009700000024,12.9,1096,33.6,41.1,0.04546666666666666,24,212051324
212051323,Mount Waverley - North,41,15273,630,77.09306260575296,6.9,0.0018333005958226936,13.9,0.34724944999999996,13.6,1104,35.4,41.8,0.15571428571428572,7,212051323
212051322,Glen Waverley - West,39,19268,560,76.03630340258127,7.9,0.002335478513597675,18.7,0.3566971,18.5,1090,34.4,45.5,0.13120833333333334,24,212051322
212051321,Glen Waverley - East,41,21044,581,76.7550894509562,7.5,0.0019007793195210036,15.0,0.36090702,14.9,1100,32.2,41.7,0.07146923076923077,13,212051321
212051320,Clayton,26,22378,345,,16.5,0.014433818929305568,31.4,0.32579753,30.2,1096,42.2,73.9,0.103688,25,212051320
212051319,Ashwood - Chadstone,35,18346,647,76.39414414414415,7.4,0.0071950288891311455,18.9,0.3530734000000003,17.0,1087,35.5,45.2,0.1228318181818182,22,212051319
212041460,Noble Park - West,34,18635,461,76.88344487940397,11.2,0.010410517842768982,19.1,0.3158566700000027,20.4,885,12.7,38.1,0.31577142857142854,7,212041460
212041318,Springvale South,35,12654,449,,9.9,0.010194404931247037,,,,870,14.7,28.3,0.19317777777777778,9,212041318
212041317,Springvale,34,21790,410,,11.8,0.017301514456172555,20.4,0.334082800000003,23.3,887,17.7,42.4,0.1719,8,212041317
212041316,Noble Park North,39,7508,501,77.30175438596491,8.5,0.005061267980820458,16.8,0.2849612,17.7,930,11.7,26.8,0.21107142857142858,7,212041316
212041314,Keysborough,35,25975,582,77.66959669079628,7.9,0.0030798845043310875,18.7,0.30119413,17.4,955,17.6,27.1,0.3167875,8,212041314
212041459,Noble Park - East,34,12408,534,76.16302795347889,9.0,0.014264990328820115,21.1,0.30023574999999997,20.6,943,11.3,46.4,0.31424,5,212041459
212041313,Dingley Village,43,10257,695,79.00167030707954,4.4,0.0002924831822170225,12.4,0.2848808500000018,8.4,1027,21.2,24.6,0.059199999999999996,5,212041313
212041312,Dandenong North,37,22474,487,77.2170151405912,9.3,0.010856990299902109,19.4,0.3005600000000003,20.6,925,10.0,31.7,0.09718571428571429,14,212041312
212041311,Dandenong,33,30615,462,,13.0,0.023093254940388698,23.6,0.4162774700000003,24.8,868,8.6,49.8,0.2518720588235295,68,212041311
212041310,Clayton South,33,12661,490,76.07704884528918,9.6,0.0067135297369876,19.7,0.29618590000000133,19.0,973,19.6,47.1,0.15813999999999998,5,212041310
212041309,Clarinda - Oakleigh South,42,11635,530,77.19437115215479,6.5,0.006617963042544048,14.0,0.2994080500000003,14.0,969,13.6,22.4,0.0,2,212041309
212021456,Narre Warren - South West,34,14002,590,77.64085538521628,8.0,0.0030709898585916297,19.2,0.2819080000000003,17.4,933,13.7,36.2,0.08113750000000002,16,212021456
212021455,Narre Warren - North East,34,13442,627,77.97826737114944,7.3,0.0018598422853742002,15.7,0.2609833800000003,13.7,962,14.1,26.6,0.0,2,212021455
212021453,Endeavour Hills - North,37,11898,581,77.80691838118923,8.2,0.001176668347621449,17.6,0.3212984000000003,16.2,981,13.1,24.4,0.02566666666666667,3,212021453
212021299,Narre Warren North,41,7760,670,79.0888119953864,4.6,0.0024484536082474227,12.9,0.33829322,11.2,1021,16.5,18.2,-0.3818,1,212021299
212021297,Hallam,35,10789,487,77.88477661995448,9.3,0.009083325609417,20.9,0.30299142,21.0,917,8.7,30.8,0.10425454545454543,22,212021297
212021295,Doveton,34,11239,454,76.31067961165049,12.7,0.01254560014236142,24.0,0.3109417600000015,26.3,841,9.3,41.9,0.0,5,212021295
212021294,Berwick - South,33,25824,734,78.10293203773799,6.4,0.0011617100371747212,17.5,0.2860831000000003,13.0,1031,17.5,37.4,0.3393485714285714,70,212021294
212021293,Berwick - North,41,22857,675,78.85336917772193,5.3,0.0024937655860349127,13.1,0.3084322000000003,10.1,1031,24.0,31.1,0.17232857142857144,21,212021293
212011292,Pakenham - South,32,28570,647,78.10027337906845,7.0,0.0037801890094504727,20.8,0.26915953,16.5,946,19.3,39.6,0.3720911764705882,34,212011292
212011289,Emerald - Cockatoo,40,18006,696,79.01988524719013,4.3,0.0008885926913251138,14.9,0.2984700800000018,11.4,1018,38.2,30.8,0.04180666666666667,15,212011289
212011287,Beaconsfield - Officer,33,13005,791,78.96324622902061,4.7,0.001845444059976932,14.5,0.27856290000000133,10.0,1021,20.4,34.6,0.28088250000000003,40,212011287
211051286,Yarra Valley,41,16183,560,78.1225655673851,5.6,0.0024717295927825494,20.2,0.2837265000000003,17.4,947,37.4,35.7,-0.08484444444444444,9,211051286
211051285,Wandin - Seville,38,7635,689,79.20115669618652,4.0,0.001440733464309103,16.6,0.2829434600000003,12.9,983,30.6,32.6,0.19478888888888887,9,211051285
211051284,Upwey - Tecoma,39,9616,747,78.3426808749299,5.2,0.0009359400998336107,11.5,0.27784480000000134,8.2,1062,45.3,32.3,0.033138461538461526,13,211051284
212031308,Pearcedale - Tooradin,40,7732,654,78.94261999278238,4.7,0.0005173305742369374,18.0,0.2610079,13.1,944,31.0,33.5,0.1466473684210526,19,212031308
212031306,Lynbrook - Lyndhurst,32,15185,732,77.9921989273525,7.1,0.0032927230819888046,20.4,0.2683690800000003,16.1,998,10.9,33.9,0.27515,10,212031306
212021454,Endeavour Hills - South,38,13372,560,77.46357680649261,7.4,0.001645228836374514,17.7,0.29865012,16.6,992,12.3,23.8,0.260075,4,212021454
