SA2 Code 2016,SA2 Name,median_age,population,median_weekly_personal_income,average_life_satisfaction_score,percent_unemployed,homeless_rate,housing_stress_30_40_rule,gini_coefficient,poverty_rate,ier_score,percent_nonreligious,percent_citizenship,sentiment,counts,suburb_code
401041014,Athelstone,42,9163,677,78.63842040312629,5.6,0.0010913456291607553,13.0,0.2653704000000008,10.0,1057,23.1,24.8,0.17595621756530422,8,401041014
401031011,Burnside - Wattle Park,42,18530,770,78.50561474229772,5.7,0.001025364274150027,15.4,0.2986797000000003,12.7,1053,36.1,36.6,0.2605786491066785,95,401031011
401021006,Lobethal - Woodside,43,9041,661,79.1162933415158,4.5,0.001437894038270103,15.2,0.2649096,12.6,1044,35.8,30.4,0.2682632285942277,129,401021006
401021005,Hahndorf - Echunga,47,4443,685,79.61526130169926,3.7,0.0,12.4,0.27093005,7.7,1078,32.7,26.5,0.3466475369784455,237,401021005
401021004,Aldgate - Stirling,43,17461,815,79.62527611233828,4.6,0.0006872458622072047,11.5,0.26798522,8.7,1098,47.7,21.9,0.3848922628964453,181,401021004
401021003,Adelaide Hills,45,6818,669,79.5440313111546,4.5,0.00044001173364623054,12.2,0.26758504,9.4,1084,35.0,23.1,0.28461202719023426,101,401021003
401011002,North Adelaide,36,6991,740,78.35443037974683,8.4,0.0028608210556429693,18.9,0.33503765,14.3,964,39.3,50.5,0.2992889238349019,1093,401011002
401011001,Adelaide,33,15105,585,,11.2,0.0414432307183052,31.6,0.3896588400000008,29.5,814,53.5,76.9,0.36466341374356703,12354,401011001
401021008,Mount Barker Region,42,6318,689,79.06722137070287,4.7,0.0011079455523899967,13.3,0.2791609000000003,11.1,1070,39.0,27.6,0.617071343896744,130,401021008
401021007,Mount Barker,37,17370,655,78.29189276747388,6.2,0.0018998272884283246,19.6,0.27429723999999994,16.0,1013,31.8,29.7,0.07184196764772524,163,401021007
401061021,Prospect,37,14493,726,77.96467619848612,6.8,0.002621955426757745,16.8,0.2946358,14.0,1000,24.2,40.7,0.3277788108164295,150,401061021
401061020,Nailsworth - Broadview,37,6082,816,77.87693650447305,5.8,0.0013153567905294311,17.0,0.2802467,12.9,1003,23.4,41.6,0.26458606501962534,105,401061020
401051017,Norwood (SA),39,10084,739,77.07985697258641,7.0,0.001190003966679889,18.9,0.3267131100000003,15.8,934,37.6,49.2,0.22234738350462324,197,401051017
401041016,Rostrevor - Magill,40,21619,589,77.43179906261267,7.1,0.0014339238632684213,18.2,0.2955346000000003,16.5,984,27.7,42.3,0.3501156065282376,31,401041016
402011027,Lewiston - Two Wells,40,5618,632,78.39083068542897,7.0,0.001245995016019936,17.1,0.25000307,13.0,1053,24.9,25.4,0.6146260902266898,6,402011027
402011026,Gawler - South,42,19816,563,78.08328145535035,8.8,0.0013120710536939847,19.1,0.2730585000000003,19.2,963,25.9,28.2,0.38780184402698403,472,402011026
402011025,Gawler - North,38,9191,684,78.77669310555217,5.6,0.0026112501360026114,14.2,0.2568699000000003,12.2,1049,31.5,27.3,0.055087977369827845,23,402011025
401071024,Unley - Parkside,42,20124,774,78.21220631550106,5.9,0.001937984496124031,15.3,0.30172366000000067,13.1,1016,36.1,41.2,0.4183688049582431,561,401071024
404031109,West Beach,43,4949,710,78.75133689839572,5.8,0.0010103051121438675,16.0,0.27625757,11.0,1028,27.4,38.3,0.015681090953667865,46,404031109
401021010,Uraidla - Summertown,43,5413,750,79.72945638432364,3.8,0.0,13.4,0.2664608700000008,9.7,1089,39.6,22.2,0.38912245913201027,327,401021010
401021009,Nairne,34,5032,695,78.5539488320356,5.0,0.0005961844197138314,18.7,0.2501879600000003,13.1,1033,40.6,29.3,0.4212367148723364,25,401021009
403041087,Seaford (SA),36,22363,603,78.0938048658139,7.7,0.001520368465769351,20.8,0.2625839000000003,18.3,989,34.8,34.0,0.2671172751378753,85,403041087
